input,output
"On January 15, 2023, display the flooding events in Jakarta.","{'LOCATION': 'Jakarta', 'DATE': '2023-01-15'}"
"Show images of burn scars in the Colorado Rockies from March 12, 2023.","{'LOCATION': 'Colorado Rockies', 'DATE': '2023-03-12'}"
"Crop types in Sudan as observed on May 20, 2023.","{'LOCATION': 'Sudan', 'DATE': '2023-05-20'}"
"February 8, 2023: Provide satellite imagery of flooding in Miami.","{'LOCATION': 'Miami', 'DATE': '2023-02-08'}"
"Burn scars in Oregon, noted on April 17, 2023.","{'LOCATION': 'Oregon', 'DATE': '2023-04-17'}"
"July 25, 2023: Identify crop types in Northern India.","{'LOCATION': 'Northern India', 'DATE': '2023-07-25'}"
"Flooding in central China on June 30, 2023.","{'LOCATION': 'Central China', 'DATE': '2023-06-30'}"
"Satellite images of burn scars in Montana from August 14, 2023.","{'LOCATION': 'Montana', 'DATE': '2023-08-14'}"
"December 5, 2023: Show crop types in Chile.","{'LOCATION': 'Chile', 'DATE': '2023-12-05'}"
"March 22, 2023, highlight flooding events in southern France.","{'LOCATION': 'Southern France', 'DATE': '2023-03-22'}"
"On November 10, 2023, find burn scars in Victoria, Australia.","{'LOCATION': 'Victoria, Australia', 'DATE': '2023-11-10'}"
"Crop types in Ukraine, recorded on September 3, 2023.","{'LOCATION': 'Ukraine', 'DATE': '2023-09-03'}"
"October 27, 2023: Flooding in Cairo, Egypt.","{'LOCATION': 'Cairo, Egypt', 'DATE': '2023-10-27'}"
"January 9, 2023: Display burn scars in the Scottish Highlands.","{'LOCATION': 'Scottish Highlands', 'DATE': '2023-01-09'}"
"Crop types in Kansas as of February 16, 2023.","{'LOCATION': 'Kansas', 'DATE': '2023-02-16'}"
"Flooding in Bangladesh on March 5, 2023.","{'LOCATION': 'Bangladesh', 'DATE': '2023-03-05'}"
"April 28, 2023, show burn scars in New Mexico.","{'LOCATION': 'New Mexico', 'DATE': '2023-04-28'}"
"May 15, 2023: Crop types in Brazil.","{'LOCATION': 'Brazil', 'DATE': '2023-05-15'}"
"June 11, 2023: Flooding in Houston, Texas.","{'LOCATION': 'Houston, Texas', 'DATE': '2023-06-11'}"
"September 7, 2023, display burn scars in Arizona.","{'LOCATION': 'Arizona', 'DATE': '2023-09-07'}"
"Crop types in Egypt observed on November 2, 2023.","{'LOCATION': 'Houston, Texas', 'DATE': '2024-05-28'}"
"December 18, 2023: Flooding in Venice.","{'LOCATION': 'Alps', 'DATE': '2024-06-04'}"
"January 22, 2023: Burn scars in British Columbia.","{'LOCATION': 'Vietnam', 'DATE': '2024-05-31'}"
"March 19, 2023: Crop types in Ethiopia.","{'LOCATION': 'UK', 'DATE': '2024-03-01'}"
"July 14, 2023, flooding in Seoul.","{'LOCATION': 'Utah', 'DATE': '2024-05-03'}"
"Burn scars in the Amazon rainforest on August 26, 2023.","{'LOCATION': 'Poland', 'DATE': '2024-06-04'}"
"October 13, 2023, show crop types in Italy.","{'LOCATION': 'Toronto, Canada', 'DATE': '2024-05-01'}"
"Flooding in the Netherlands on February 21, 2023.","{'LOCATION': 'Morocco', 'DATE': '2024-01-01'}"
"On April 4, 2023, display burn scars in California.","{'LOCATION': 'Kansas', 'DATE': '2024-05-04'}"
"Crop types in Morocco as of May 28, 2023.","{'LOCATION': 'Cairo, Egypt', 'DATE': '2024-05-28'}"
"Flooding in São Paulo on June 19, 2023.","{'LOCATION': 'Tasmania', 'DATE': '2024-05-27'}"
"Satellite imagery of burn scars in Utah from September 9, 2023.","{'LOCATION': 'Germany', 'DATE': '2024-05-29'}"
"November 23, 2023: Crop types in Vietnam.","{'LOCATION': 'Miami, Florida', 'DATE': '2024-04-01'}"
"December 3, 2023, highlight flooding events in Manila.","{'LOCATION': 'Kalahari Desert', 'DATE': '2024-03-01'}"
"January 31, 2023: Burn scars in Nevada.","{'LOCATION': 'Netherlands', 'DATE': '2024-06-01'}"
