tokens,ner_tags
"['February', '8', ',', '2023', ':', 'Provide', 'satellite', 'imagery', 'of', 'flooding', 'in', 'Miami', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['Burn', 'scars', 'in', 'Oregon', ',', 'noted', 'on', 'April', '17', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['July', '25', ',', '2023', ':', 'Identify', 'crop', 'types', 'in', 'Northern', 'India', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['Flooding', 'in', 'central', 'China', 'on', 'June', '30', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Satellite', 'images', 'of', 'burn', 'scars', 'in', 'Montana', 'from', 'August', '14', ',', '2023', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['December', '5', ',', '2023', ':', 'Show', 'crop', 'types', 'in', 'Chile', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['March', '22', ',', '2023', ',', 'highlight', 'flooding', 'events', 'in', 'southern', 'France', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['On', 'November', '10', ',', '2023', ',', 'find', 'burn', 'scars', 'in', 'Victoria', ',', 'Australia', '.']","['O', 'DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'Ukraine', ',', 'recorded', 'on', 'September', '3', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['October', '27', ',', '2023', ':', 'Flooding', 'in', 'Cairo', ',', 'Egypt', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O']"
"['January', '9', ',', '2023', ':', 'Display', 'burn', 'scars', 'in', 'the', 'Scottish', 'Highlands', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'Kansas', 'as', 'of', 'February', '16', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Flooding', 'in', 'Bangladesh', 'on', 'March', '5', ',', '2023', '.']","['O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['April', '28', ',', '2023', ',', 'show', 'burn', 'scars', 'in', 'New', 'Mexico', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['May', '15', ',', '2023', ':', 'Crop', 'types', 'in', 'Brazil', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['June', '11', ',', '2023', ':', 'Flooding', 'in', 'Houston', ',', 'Texas', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O']"
"['September', '7', ',', '2023', ',', 'display', 'burn', 'scars', 'in', 'Arizona', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'Egypt', 'observed', 'on', 'November', '2', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['December', '18', ',', '2023', ':', 'Flooding', 'in', 'Venice', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O']"
"['January', '22', ',', '2023', ':', 'Burn', 'scars', 'in', 'British', 'Columbia', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['March', '19', ',', '2023', ':', 'Crop', 'types', 'in', 'Ethiopia', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O']"
"['July', '14', ',', '2023', ',', 'flooding', 'in', 'Seoul', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Burn', 'scars', 'in', 'the', 'Amazon', 'rainforest', 'on', 'August', '26', ',', '2023', '.']","['O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['October', '13', ',', '2023', ',', 'show', 'crop', 'types', 'in', 'Italy', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Flooding', 'in', 'the', 'Netherlands', 'on', 'February', '21', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
